State,Year,Quarter,Transaction Type,Transactions,Amount (INR),ATV (INR)
Gujarat,2021,2,Recharge & bill payments,"27,127,405","13,750,783,182",507
Gujarat,2021,2,Financial Services,"128,647","136,119,997","1,058"
Gujarat,2021,2,Others,"349,525","249,278,437",713
Haryana,2018,1,Recharge & bill payments,"2,368,002","535,578,755",226
Haryana,2018,1,Peer-to-peer payments,"1,607,193","5,814,807,511","3,618"
Haryana,2018,1,Merchant payments,"167,816","173,513,595","1,034"
Haryana,2018,1,Financial Services,"128,636","27,501,068",214
Haryana,2018,1,Others,"209,123","242,110,586","1,158"
Haryana,2018,2,Recharge & bill payments,"3,054,284","984,897,277",322
Haryana,2018,2,Peer-to-peer payments,"2,388,953","9,745,924,810","4,080"
Haryana,2018,2,Merchant payments,"369,916","334,118,261",903
Haryana,2018,2,Financial Services,"167,570","38,145,882",228
Haryana,2018,2,Others,"170,208","217,328,212","1,277"
Haryana,2018,3,Peer-to-peer payments,"3,753,981","14,429,454,356","3,844"
Haryana,2018,3,Recharge & bill payments,"3,203,386","1,310,467,515",409
Haryana,2018,3,Merchant payments,"1,003,057","427,387,638",426
Haryana,2018,3,Financial Services,"100,452","17,323,791",172
Haryana,2018,3,Others,"201,148","190,505,707",947
Haryana,2018,4,Peer-to-peer payments,"5,905,032","22,416,919,747","3,796"
Haryana,2018,4,Recharge & bill payments,"4,116,262","1,671,040,704",406
Haryana,2018,4,Merchant payments,"2,413,446","1,013,407,380",420
Haryana,2018,4,Financial Services,"120,711","22,252,544",184
Haryana,2018,4,Others,"394,732","267,255,642",677
Haryana,2019,1,Peer-to-peer payments,"12,622,225","30,283,578,837","2,399"
Haryana,2019,1,Recharge & bill payments,"5,576,577","2,202,061,875",395
Haryana,2019,1,Merchant payments,"3,361,995","1,292,375,556",384
Haryana,2019,1,Financial Services,"101,786","15,201,736",149
Haryana,2019,1,Others,"473,192","258,437,718",546
Haryana,2019,2,Peer-to-peer payments,"10,387,562","37,056,084,814","3,567"
Haryana,2019,2,Recharge & bill payments,"5,902,923","2,838,724,048",481
Haryana,2019,2,Merchant payments,"5,738,283","2,292,901,816",400
Haryana,2019,2,Financial Services,"57,488","12,080,285",210
Haryana,2019,2,Others,"655,560","301,748,850",460
Haryana,2019,3,Peer-to-peer payments,"11,775,288","43,738,290,120","3,714"
Haryana,2019,3,Merchant payments,"9,386,779","3,615,636,828",385
Haryana,2019,3,Recharge & bill payments,"8,289,987","4,817,098,565",581
Haryana,2019,3,Financial Services,"61,503","16,715,101",272
Haryana,2019,3,Others,"829,974","301,378,586",363
Haryana,2019,4,Peer-to-peer payments,"15,729,819","58,242,027,266","3,703"
Haryana,2019,4,Merchant payments,"11,615,667","5,253,780,278",452
Haryana,2019,4,Recharge & bill payments,"9,648,003","5,637,358,526",584
Haryana,2019,4,Financial Services,"41,688","13,756,049",330
Haryana,2019,4,Others,"790,808","212,797,750",269
Haryana,2020,1,Peer-to-peer payments,"17,728,235","68,367,245,528","3,856"
Haryana,2020,1,Merchant payments,"14,327,020","7,075,196,609",494
Haryana,2020,1,Recharge & bill payments,"11,346,112","6,331,682,017",558
Haryana,2020,1,Financial Services,"34,488","25,266,730",733
Haryana,2020,1,Others,"600,232","176,823,674",295
Haryana,2020,2,Peer-to-peer payments,"17,334,369","66,645,492,691","3,845"
Haryana,2020,2,Recharge & bill payments,"12,740,328","6,547,618,492",514
Haryana,2020,2,Merchant payments,"11,527,654","7,393,393,678",641
Haryana,2020,2,Financial Services,"48,759","49,209,527","1,009"
Haryana,2020,2,Others,"129,940","75,550,537",581
Haryana,2020,3,Peer-to-peer payments,"24,123,449","88,796,356,487","3,681"
Haryana,2020,3,Merchant payments,"20,845,136","12,141,560,867",582
Haryana,2020,3,Recharge & bill payments,"12,716,319","8,452,802,893",665
Haryana,2020,3,Financial Services,"66,457","80,854,297","1,217"
Haryana,2020,3,Others,"186,818","96,375,902",516
Haryana,2020,4,Merchant payments,"34,063,692","21,382,305,452",628
Haryana,2020,4,Peer-to-peer payments,"33,920,789","128,613,933,347","3,792"
Haryana,2020,4,Recharge & bill payments,"14,682,896","9,675,471,301",659
Haryana,2020,4,Financial Services,"84,881","103,265,694","1,217"
Haryana,2020,4,Others,"419,181","223,528,573",533
Haryana,2021,1,Merchant payments,"39,363,588","23,389,100,227",594
Haryana,2021,1,Peer-to-peer payments,"36,764,622","135,970,636,785","3,698"
Haryana,2021,1,Recharge & bill payments,"13,680,353","9,260,346,909",677
Haryana,2021,1,Financial Services,"79,784","99,672,810","1,249"
Haryana,2021,1,Others,"364,437","218,544,351",600
Haryana,2021,2,Merchant payments,"45,335,533","29,119,078,264",642
Haryana,2021,2,Peer-to-peer payments,"44,086,559","161,073,685,337","3,654"
Haryana,2021,2,Recharge & bill payments,"15,861,047","9,839,496,895",620
Haryana,2021,2,Financial Services,"85,821","97,238,136","1,133"
Haryana,2021,2,Others,"311,896","227,855,607",731
Himachal Pradesh,2018,1,Recharge & bill payments,"284,371","49,871,176",175
Himachal Pradesh,2018,1,Peer-to-peer payments,"154,572","546,222,027","3,534"
Himachal Pradesh,2018,1,Merchant payments,"13,241","13,851,231","1,046"
Himachal Pradesh,2018,1,Financial Services,"8,955","2,040,523",228
Himachal Pradesh,2018,1,Others,"20,779","16,752,850",806
Himachal Pradesh,2018,2,Recharge & bill payments,"385,642","83,714,322",217
Himachal Pradesh,2018,2,Peer-to-peer payments,"243,436","1,043,702,964","4,287"
Himachal Pradesh,2018,2,Merchant payments,"27,851","31,961,301","1,148"
Himachal Pradesh,2018,2,Financial Services,"11,330","4,108,919",363
Himachal Pradesh,2018,2,Others,"19,436","19,681,795","1,013"
Himachal Pradesh,2018,3,Recharge & bill payments,"457,449","108,456,078",237
Himachal Pradesh,2018,3,Peer-to-peer payments,"362,755","1,596,570,995","4,401"
Himachal Pradesh,2018,3,Merchant payments,"40,675","31,168,155",766
Himachal Pradesh,2018,3,Financial Services,"8,182","1,552,275",190
Himachal Pradesh,2018,3,Others,"17,693","16,293,930",921
Himachal Pradesh,2018,4,Recharge & bill payments,"598,325","143,031,082",239
Himachal Pradesh,2018,4,Peer-to-peer payments,"590,518","2,367,228,879","4,009"
Himachal Pradesh,2018,4,Merchant payments,"86,963","87,575,812","1,007"
Himachal Pradesh,2018,4,Financial Services,"11,834","2,283,053",193
Himachal Pradesh,2018,4,Others,"20,243","21,180,142","1,046"
Himachal Pradesh,2019,1,Peer-to-peer payments,"1,178,280","3,066,233,588","2,602"
Himachal Pradesh,2019,1,Recharge & bill payments,"844,570","209,521,987",248
Himachal Pradesh,2019,1,Merchant payments,"115,553","86,624,660",750
Himachal Pradesh,2019,1,Financial Services,"9,585","1,424,230",149
Himachal Pradesh,2019,1,Others,"20,730","17,676,978",853
Himachal Pradesh,2019,2,Peer-to-peer payments,"1,141,873","4,428,007,671","3,878"
Himachal Pradesh,2019,2,Recharge & bill payments,"1,076,793","279,864,580",260
Himachal Pradesh,2019,2,Merchant payments,"248,517","141,088,576",568
Himachal Pradesh,2019,2,Financial Services,"5,013","1,453,652",290
Himachal Pradesh,2019,2,Others,"30,110","25,469,495",846
Himachal Pradesh,2019,3,Recharge & bill payments,"1,212,659","327,570,067",270
Himachal Pradesh,2019,3,Peer-to-peer payments,"1,181,680","5,039,276,845","4,265"
Himachal Pradesh,2019,3,Merchant payments,"312,575","182,746,198",585
Himachal Pradesh,2019,3,Financial Services,"3,096","1,775,674",574
Himachal Pradesh,2019,3,Others,"25,170","20,649,997",820
Himachal Pradesh,2019,4,Peer-to-peer payments,"1,579,582","6,533,855,301","4,136"
Himachal Pradesh,2019,4,Recharge & bill payments,"1,442,940","402,619,115",279
Himachal Pradesh,2019,4,Merchant payments,"467,309","314,965,061",674
Himachal Pradesh,2019,4,Financial Services,"4,576","1,769,642",387
Himachal Pradesh,2019,4,Others,"22,239","17,954,419",807
Himachal Pradesh,2020,1,Recharge & bill payments,"1,815,157","542,356,757",299
Himachal Pradesh,2020,1,Peer-to-peer payments,"1,594,806","6,431,826,925","4,033"
Himachal Pradesh,2020,1,Merchant payments,"711,018","427,497,010",601
Himachal Pradesh,2020,1,Financial Services,"4,711","3,172,304",673
Himachal Pradesh,2020,1,Others,"18,788","14,613,755",778
Himachal Pradesh,2020,2,Recharge & bill payments,"2,558,935","802,231,470",314
Himachal Pradesh,2020,2,Peer-to-peer payments,"1,544,488","6,738,488,219","4,363"
Himachal Pradesh,2020,2,Merchant payments,"570,031","479,165,631",841
Himachal Pradesh,2020,2,Financial Services,"7,634","7,359,758",964
Himachal Pradesh,2020,2,Others,"14,642","9,659,685",660
Himachal Pradesh,2020,3,Recharge & bill payments,"2,416,395","834,567,922",345
Himachal Pradesh,2020,3,Peer-to-peer payments,"1,954,492","8,806,586,537","4,506"
Himachal Pradesh,2020,3,Merchant payments,"1,090,445","851,539,467",781
Himachal Pradesh,2020,3,Financial Services,"9,543","11,391,079","1,194"
Himachal Pradesh,2020,3,Others,"19,001","11,969,009",630
Himachal Pradesh,2020,4,Recharge & bill payments,"2,638,030","936,305,778",355
Himachal Pradesh,2020,4,Peer-to-peer payments,"2,594,659","11,426,268,857","4,404"
Himachal Pradesh,2020,4,Merchant payments,"2,001,259","1,589,433,440",794
Himachal Pradesh,2020,4,Financial Services,"11,353","15,534,252","1,368"
Himachal Pradesh,2020,4,Others,"27,027","21,510,781",796
Himachal Pradesh,2021,1,Peer-to-peer payments,"2,845,733","11,358,078,844","3,991"
Himachal Pradesh,2021,1,Recharge & bill payments,"2,547,359","948,929,032",373
Himachal Pradesh,2021,1,Merchant payments,"2,186,946","1,778,219,851",813
Himachal Pradesh,2021,1,Financial Services,"12,561","16,554,206","1,318"
Himachal Pradesh,2021,1,Others,"21,430","18,764,978",876
Himachal Pradesh,2021,2,Peer-to-peer payments,"3,340,531","13,035,543,547","3,902"
Himachal Pradesh,2021,2,Recharge & bill payments,"3,216,602","1,045,789,842",325
Himachal Pradesh,2021,2,Merchant payments,"2,883,209","2,378,084,375",825
Himachal Pradesh,2021,2,Financial Services,"14,642","16,428,391","1,122"
Himachal Pradesh,2021,2,Others,"28,918","19,788,385",684
Jammu & Kashmir,2018,1,Recharge & bill payments,"457,813","78,812,610",172
Jammu & Kashmir,2018,1,Peer-to-peer payments,"353,621","861,670,158","2,437"
Jammu & Kashmir,2018,1,Financial Services,"65,683","10,269,383",156
Jammu & Kashmir,2018,1,Merchant payments,"28,696","30,967,526","1,079"
Jammu & Kashmir,2018,1,Others,"35,755","23,651,563",661
Jammu & Kashmir,2018,2,Recharge & bill payments,"794,502","166,762,243",210
Jammu & Kashmir,2018,2,Peer-to-peer payments,"771,844","2,372,961,688","3,074"
Jammu & Kashmir,2018,2,Financial Services,"112,422","15,636,117",139
Jammu & Kashmir,2018,2,Merchant payments,"79,248","64,454,258",813
Jammu & Kashmir,2018,2,Others,"38,310","31,391,932",819
Jammu & Kashmir,2018,3,Peer-to-peer payments,"1,260,453","3,616,022,746","2,869"
Jammu & Kashmir,2018,3,Recharge & bill payments,"822,143","203,079,955",247
Jammu & Kashmir,2018,3,Merchant payments,"140,076","82,826,475",591
Jammu & Kashmir,2018,3,Financial Services,"44,464","6,397,888",144
Jammu & Kashmir,2018,3,Others,"36,825","26,373,935",716
Jammu & Kashmir,2018,4,Peer-to-peer payments,"1,265,457","5,151,829,745","4,071"
Jammu & Kashmir,2018,4,Recharge & bill payments,"970,724","254,473,764",262
Jammu & Kashmir,2018,4,Merchant payments,"402,303","215,771,002",536
Jammu & Kashmir,2018,4,Financial Services,"33,775","6,072,177",180
Jammu & Kashmir,2018,4,Others,"49,051","36,573,578",746
Jammu & Kashmir,2019,1,Peer-to-peer payments,"1,913,720","5,414,709,532","2,829"
Jammu & Kashmir,2019,1,Recharge & bill payments,"1,131,953","302,663,113",267
Jammu & Kashmir,2019,1,Merchant payments,"452,379","199,219,535",440
Jammu & Kashmir,2019,1,Financial Services,"43,247","4,593,545",106
Jammu & Kashmir,2019,1,Others,"43,688","30,649,752",702
Jammu & Kashmir,2019,2,Peer-to-peer payments,"1,180,781","5,666,318,253","4,799"
Jammu & Kashmir,2019,2,Recharge & bill payments,"706,569","215,937,469",306
Jammu & Kashmir,2019,2,Merchant payments,"353,678","188,931,529",534
Jammu & Kashmir,2019,2,Financial Services,"22,663","2,652,961",117
Jammu & Kashmir,2019,2,Others,"32,664","26,301,988",805
Jammu & Kashmir,2019,3,Peer-to-peer payments,"618,694","3,499,425,218","5,656"
Jammu & Kashmir,2019,3,Recharge & bill payments,"318,061","111,964,437",352
Jammu & Kashmir,2019,3,Merchant payments,"165,115","120,736,230",731
Jammu & Kashmir,2019,3,Financial Services,"2,895","658,516",227
Jammu & Kashmir,2019,3,Others,"11,761","11,446,091",973
Jammu & Kashmir,2019,4,Peer-to-peer payments,"310,620","1,799,955,856","5,795"
Jammu & Kashmir,2019,4,Merchant payments,"91,303","77,859,074",853
Jammu & Kashmir,2019,4,Recharge & bill payments,"84,803","49,065,907",579
Jammu & Kashmir,2019,4,Financial Services,197,"213,741","1,085"
Jammu & Kashmir,2019,4,Others,"3,005","2,601,420",866
Jammu & Kashmir,2020,1,Peer-to-peer payments,"435,154","2,654,638,582","6,100"
Jammu & Kashmir,2020,1,Recharge & bill payments,"341,357","144,213,069",422
Jammu & Kashmir,2020,1,Merchant payments,"135,241","131,144,419",970
Jammu & Kashmir,2020,1,Financial Services,"2,350","2,116,665",901
Jammu & Kashmir,2020,1,Others,"7,528","5,530,442",735
Jammu & Kashmir,2020,2,Peer-to-peer payments,"1,238,380","7,426,818,530","5,997"
Jammu & Kashmir,2020,2,Recharge & bill payments,"1,028,741","413,037,418",401
Jammu & Kashmir,2020,2,Merchant payments,"341,375","403,026,358","1,181"
Jammu & Kashmir,2020,2,Financial Services,"9,130","10,415,041","1,141"
Jammu & Kashmir,2020,2,Others,"17,380","12,351,592",711
Jammu & Kashmir,2020,3,Peer-to-peer payments,"1,787,154","10,837,119,047","6,064"
Jammu & Kashmir,2020,3,Recharge & bill payments,"1,005,745","443,743,223",441
Jammu & Kashmir,2020,3,Merchant payments,"642,688","667,957,476","1,039"
Jammu & Kashmir,2020,3,Financial Services,"10,111","13,281,734","1,314"
Jammu & Kashmir,2020,3,Others,"20,200","15,128,281",749
Jammu & Kashmir,2020,4,Peer-to-peer payments,"2,378,539","13,736,841,260","5,775"
Jammu & Kashmir,2020,4,Recharge & bill payments,"1,900,075","536,741,118",282
Jammu & Kashmir,2020,4,Merchant payments,"1,377,786","1,045,006,123",758
Jammu & Kashmir,2020,4,Financial Services,"13,578","17,966,593","1,323"
Jammu & Kashmir,2020,4,Others,"84,466","44,350,709",525
Jammu & Kashmir,2021,1,Peer-to-peer payments,"2,800,201","14,801,220,301","5,286"
Jammu & Kashmir,2021,1,Recharge & bill payments,"2,554,798","663,747,766",260
Jammu & Kashmir,2021,1,Merchant payments,"1,527,253","1,605,408,313","1,051"
Jammu & Kashmir,2021,1,Financial Services,"17,276","20,848,658","1,207"
Jammu & Kashmir,2021,1,Others,"98,042","47,124,855",481
Jammu & Kashmir,2021,2,Peer-to-peer payments,"3,955,437","19,502,438,178","4,931"
Jammu & Kashmir,2021,2,Recharge & bill payments,"3,568,970","892,467,614",250
Jammu & Kashmir,2021,2,Merchant payments,"2,378,307","2,343,370,986",985
Jammu & Kashmir,2021,2,Financial Services,"19,432","21,897,796","1,127"
Jammu & Kashmir,2021,2,Others,"105,673","53,580,855",507
Jharkhand,2018,1,Recharge & bill payments,"1,095,857","132,181,815",121
Jharkhand,2018,1,Peer-to-peer payments,"809,459","2,036,315,436","2,516"
Jharkhand,2018,1,Financial Services,"107,755","45,483,178",422
Jharkhand,2018,1,Merchant payments,"66,299","66,465,338","1,003"
Jharkhand,2018,1,Others,"99,551","93,740,623",942
Jharkhand,2018,2,Recharge & bill payments,"1,398,777","208,894,648",149
Jharkhand,2018,2,Peer-to-peer payments,"1,375,872","4,205,862,517","3,057"
Jharkhand,2018,2,Financial Services,"160,637","65,554,548",408
Jharkhand,2018,2,Merchant payments,"130,339","138,889,079","1,066"
Jharkhand,2018,2,Others,"86,455","102,374,867","1,184"
Jharkhand,2018,3,Peer-to-peer payments,"6,003,688","8,142,915,751","1,356"
Jharkhand,2018,3,Recharge & bill payments,"1,539,476","256,930,062",167
Jharkhand,2018,3,Merchant payments,"287,427","155,059,935",539
Jharkhand,2018,3,Financial Services,"216,343","38,182,604",176
Jharkhand,2018,3,Others,"75,687","68,483,066",905
Jharkhand,2018,4,Peer-to-peer payments,"3,325,473","9,414,019,817","2,831"
Jharkhand,2018,4,Recharge & bill payments,"1,885,135","328,077,093",174
Jharkhand,2018,4,Merchant payments,"845,956","373,435,992",441
Jharkhand,2018,4,Financial Services,"136,918","36,357,466",266
Jharkhand,2018,4,Others,"90,561","90,026,273",994
Jharkhand,2019,1,Peer-to-peer payments,"5,952,105","12,664,709,652","2,128"
Jharkhand,2019,1,Recharge & bill payments,"2,347,079","440,323,945",188
Jharkhand,2019,1,Merchant payments,"892,826","391,616,776",439
Jharkhand,2019,1,Financial Services,"105,558","47,227,411",447
Jharkhand,2019,1,Others,"90,140","83,358,665",925
Jharkhand,2019,2,Peer-to-peer payments,"5,155,937","17,044,444,614","3,306"
Jharkhand,2019,2,Recharge & bill payments,"2,734,377","562,210,325",206
Jharkhand,2019,2,Merchant payments,"2,049,311","862,186,712",421
Jharkhand,2019,2,Financial Services,"67,479","51,588,987",765
Jharkhand,2019,2,Others,"121,107","102,270,668",844
Jharkhand,2019,3,Peer-to-peer payments,"5,708,187","19,050,145,624","3,337"
Jharkhand,2019,3,Merchant payments,"4,766,457","1,494,546,031",314
Jharkhand,2019,3,Recharge & bill payments,"3,527,625","754,845,094",214
Jharkhand,2019,3,Financial Services,"103,620","80,276,392",775
Jharkhand,2019,3,Others,"114,758","86,160,853",751
Jharkhand,2019,4,Peer-to-peer payments,"10,301,226","25,360,155,657","2,462"
Jharkhand,2019,4,Recharge & bill payments,"4,390,094","966,539,485",220
Jharkhand,2019,4,Merchant payments,"3,359,590","1,725,990,596",514
Jharkhand,2019,4,Financial Services,"104,630","45,850,806",438
Jharkhand,2019,4,Others,"93,078","49,211,833",529
Jharkhand,2020,1,Peer-to-peer payments,"8,196,850","29,875,044,416","3,645"
Jharkhand,2020,1,Recharge & bill payments,"5,454,093","1,358,517,297",249
Jharkhand,2020,1,Merchant payments,"4,499,942","2,298,726,415",511
Jharkhand,2020,1,Financial Services,"46,483","31,523,888",678
Jharkhand,2020,1,Others,"85,345","47,420,138",556
Jharkhand,2020,2,Peer-to-peer payments,"8,724,053","32,662,370,317","3,744"
Jharkhand,2020,2,Recharge & bill payments,"7,538,593","1,987,320,467",264
Jharkhand,2020,2,Merchant payments,"3,753,633","2,662,438,204",709
Jharkhand,2020,2,Financial Services,"56,553","130,249,402","2,303"
Jharkhand,2020,2,Others,"68,679","43,823,586",638
Jharkhand,2020,3,Peer-to-peer payments,"11,984,094","43,128,110,246","3,599"
Jharkhand,2020,3,Merchant payments,"7,728,846","5,163,578,368",668
Jharkhand,2020,3,Recharge & bill payments,"7,211,293","2,217,657,035",308
Jharkhand,2020,3,Financial Services,"56,918","63,233,533","1,111"
Jharkhand,2020,3,Others,"87,322","50,036,638",573
Jharkhand,2020,4,Peer-to-peer payments,"17,120,664","60,733,288,288","3,547"
Jharkhand,2020,4,Merchant payments,"14,168,381","9,347,677,564",660
Jharkhand,2020,4,Recharge & bill payments,"7,945,996","2,582,828,439",325
Jharkhand,2020,4,Financial Services,"60,989","63,947,540","1,049"
Jharkhand,2020,4,Others,"135,603","77,432,999",571
Jharkhand,2021,1,Peer-to-peer payments,"19,151,083","69,198,235,577","3,613"
Jharkhand,2021,1,Merchant payments,"17,489,113","11,545,580,927",660
Jharkhand,2021,1,Recharge & bill payments,"7,826,608","2,888,409,672",369
Jharkhand,2021,1,Financial Services,"50,526","54,836,609","1,085"
Jharkhand,2021,1,Others,"104,333","62,290,338",597
Jharkhand,2021,2,Peer-to-peer payments,"24,184,568","86,037,113,965","3,558"
Jharkhand,2021,2,Merchant payments,"19,041,292","14,731,458,451",774
Jharkhand,2021,2,Recharge & bill payments,"10,583,445","3,531,023,352",334
Jharkhand,2021,2,Financial Services,"54,379","57,959,230","1,066"
Jharkhand,2021,2,Others,"138,461","75,088,312",542
Karnataka,2018,1,Recharge & bill payments,"5,785,292","1,496,816,542",259
Karnataka,2018,1,Peer-to-peer payments,"4,456,528","16,522,277,460","3,707"
Karnataka,2018,1,Merchant payments,"1,089,627","696,586,489",639
Karnataka,2018,1,Financial Services,"159,848","52,664,837",329
Karnataka,2018,1,Others,"525,604","449,549,985",855
Karnataka,2018,2,Recharge & bill payments,"7,391,926","2,435,924,808",330
Karnataka,2018,2,Peer-to-peer payments,"7,164,836","29,135,024,501","4,066"
Karnataka,2018,2,Merchant payments,"1,874,383","1,361,967,205",727
Karnataka,2018,2,Financial Services,"194,363","93,244,738",480
Karnataka,2018,2,Others,"490,939","489,418,829",997
Karnataka,2018,3,Peer-to-peer payments,"12,863,507","42,819,128,165","3,329"
Karnataka,2018,3,Recharge & bill payments,"8,674,172","3,019,156,590",348
Karnataka,2018,3,Merchant payments,"3,638,065","1,879,406,581",517
Karnataka,2018,3,Financial Services,"205,740","50,726,023",247
Karnataka,2018,3,Others,"598,777","456,674,396",763
Karnataka,2018,4,Peer-to-peer payments,"20,471,744","63,575,342,228","3,106"
Karnataka,2018,4,Merchant payments,"11,812,478","4,751,317,555",402
Karnataka,2018,4,Recharge & bill payments,"11,426,205","4,030,978,295",353
Karnataka,2018,4,Financial Services,"289,353","71,134,705",246
Karnataka,2018,4,Others,"812,291","579,613,793",714
Karnataka,2019,1,Peer-to-peer payments,"44,049,036","104,118,436,760","2,364"
Karnataka,2019,1,Merchant payments,"24,491,960","7,076,613,844",289
Karnataka,2019,1,Recharge & bill payments,"16,981,941","6,217,689,430",366
Karnataka,2019,1,Financial Services,"293,728","51,023,386",174
Karnataka,2019,1,Others,"770,944","512,618,726",665
Karnataka,2019,2,Peer-to-peer payments,"50,033,334","142,910,706,254","2,856"
Karnataka,2019,2,Merchant payments,"44,848,593","12,338,599,109",275
Karnataka,2019,2,Recharge & bill payments,"19,283,028","7,745,156,563",402
Karnataka,2019,2,Financial Services,"140,353","44,871,624",320
Karnataka,2019,2,Others,"1,096,296","662,690,677",604
Karnataka,2019,3,Merchant payments,"76,924,325","20,375,791,902",265
Karnataka,2019,3,Peer-to-peer payments,"67,784,880","183,163,325,083","2,702"
Karnataka,2019,3,Recharge & bill payments,"24,339,891","10,208,179,942",419
Karnataka,2019,3,Financial Services,"189,716","57,194,691",301
Karnataka,2019,3,Others,"1,494,923","732,228,821",490
Karnataka,2019,4,Merchant payments,"114,044,901","31,602,890,836",277
Karnataka,2019,4,Peer-to-peer payments,"93,311,589","250,562,864,353","2,685"
Karnataka,2019,4,Recharge & bill payments,"28,862,161","12,183,568,521",422
Karnataka,2019,4,Financial Services,"101,937","51,145,982",502
Karnataka,2019,4,Others,"1,475,664","646,673,755",438
Karnataka,2020,1,Merchant payments,"132,970,737","40,374,401,934",304
Karnataka,2020,1,Peer-to-peer payments,"100,868,460","297,635,301,556","2,951"
Karnataka,2020,1,Recharge & bill payments,"35,854,971","14,724,886,028",411
Karnataka,2020,1,Financial Services,"93,648","110,130,185","1,176"
Karnataka,2020,1,Others,"1,246,074","557,335,297",447
Karnataka,2020,2,Merchant payments,"87,251,639","38,463,881,234",441
Karnataka,2020,2,Peer-to-peer payments,"82,118,363","265,767,207,470","3,236"
Karnataka,2020,2,Recharge & bill payments,"43,290,272","16,434,890,228",380
Karnataka,2020,2,Financial Services,"161,560","246,367,207","1,525"
Karnataka,2020,2,Others,"399,878","192,530,880",481
Karnataka,2020,3,Merchant payments,"137,206,600","60,769,881,812",443
Karnataka,2020,3,Peer-to-peer payments,"119,241,776","390,432,374,828","3,274"
Karnataka,2020,3,Recharge & bill payments,"43,139,631","18,911,088,811",438
Karnataka,2020,3,Financial Services,"251,980","358,426,106","1,422"
Karnataka,2020,3,Others,"520,544","268,744,140",516
Karnataka,2020,4,Merchant payments,"215,711,211","97,147,239,183",450
Karnataka,2020,4,Peer-to-peer payments,"166,981,242","538,340,957,772","3,224"
Karnataka,2020,4,Recharge & bill payments,"47,736,461","21,611,671,359",453
Karnataka,2020,4,Financial Services,"284,700","427,966,919","1,503"
Karnataka,2020,4,Others,"823,370","508,863,332",618
Karnataka,2021,1,Merchant payments,"279,599,017","117,959,690,730",422
Karnataka,2021,1,Peer-to-peer payments,"190,894,164","610,937,002,732","3,200"
Karnataka,2021,1,Recharge & bill payments,"52,261,651","25,111,731,676",481
Karnataka,2021,1,Financial Services,"297,710","475,815,042","1,598"
Karnataka,2021,1,Others,"744,950","511,117,233",686
Karnataka,2021,2,Merchant payments,"244,460,862","124,624,417,935",510
Karnataka,2021,2,Peer-to-peer payments,"216,539,959","684,035,748,184","3,159"
Karnataka,2021,2,Recharge & bill payments,"68,599,238","28,272,314,719",412
Karnataka,2021,2,Financial Services,"304,779","456,933,674","1,499"
Karnataka,2021,2,Others,"744,208","497,736,717",669
Kerala,2018,1,Recharge & bill payments,"988,774","157,311,821",159
Kerala,2018,1,Peer-to-peer payments,"600,205","2,107,288,314","3,511"
Kerala,2018,1,Merchant payments,"72,164","82,919,383","1,149"
Kerala,2018,1,Financial Services,"40,170","7,957,492",198
Kerala,2018,1,Others,"70,067","47,197,742",674
Kerala,2018,2,Recharge & bill payments,"1,230,869","248,080,143",202
Kerala,2018,2,Peer-to-peer payments,"848,291","3,436,199,589","4,051"
Kerala,2018,2,Merchant payments,"131,217","144,501,582","1,101"
Kerala,2018,2,Financial Services,"41,100","12,355,589",301
Kerala,2018,2,Others,"56,688","45,786,440",808
Kerala,2018,3,Peer-to-peer payments,"1,425,259","4,823,239,268","3,384"
Kerala,2018,3,Recharge & bill payments,"1,407,588","296,352,497",211
Kerala,2018,3,Merchant payments,"210,974","160,705,489",762
Kerala,2018,3,Financial Services,"37,286","6,170,643",165
Kerala,2018,3,Others,"53,241","36,557,326",687
Kerala,2018,4,Peer-to-peer payments,"2,073,960","6,959,805,155","3,356"
Kerala,2018,4,Recharge & bill payments,"1,679,897","351,296,525",209
Kerala,2018,4,Merchant payments,"417,114","378,857,200",908
Kerala,2018,4,Financial Services,"75,084","10,063,657",134
Kerala,2018,4,Others,"64,599","47,338,701",733
Kerala,2019,1,Peer-to-peer payments,"3,601,116","9,314,451,112","2,587"
Kerala,2019,1,Recharge & bill payments,"2,180,915","498,453,896",229
Kerala,2019,1,Merchant payments,"550,707","371,997,848",675
Kerala,2019,1,Financial Services,"77,652","7,808,574",101
Kerala,2019,1,Others,"58,649","42,319,705",722
Kerala,2019,2,Peer-to-peer payments,"3,519,528","11,630,623,424","3,305"
Kerala,2019,2,Recharge & bill payments,"2,711,299","768,892,058",284
Kerala,2019,2,Merchant payments,"937,130","569,545,843",608
Kerala,2019,2,Financial Services,"38,869","5,823,292",150
Kerala,2019,2,Others,"77,000","56,486,945",734
Kerala,2019,3,Peer-to-peer payments,"4,181,954","14,433,990,011","3,451"
Kerala,2019,3,Recharge & bill payments,"3,431,236","1,051,007,778",306
Kerala,2019,3,Merchant payments,"1,497,029","879,510,566",588
Kerala,2019,3,Financial Services,"96,130","8,910,529",93
Kerala,2019,3,Others,"79,747","56,390,838",707
Kerala,2019,4,Peer-to-peer payments,"5,859,068","18,537,483,865","3,164"
Kerala,2019,4,Recharge & bill payments,"4,097,032","1,287,955,352",314
Kerala,2019,4,Merchant payments,"2,418,428","1,268,704,040",525
Kerala,2019,4,Financial Services,"50,728","10,816,333",213
Kerala,2019,4,Others,"73,381","46,367,048",632
