State,Year,Quarter,Brand,Registered Users,Percentage
Andhra Pradesh,2019,1,Oppo,"835,541",10%
Andhra Pradesh,2019,1,Realme,"564,832",7%
Andhra Pradesh,2019,1,Motorola,"291,830",4%
Andhra Pradesh,2019,1,Apple,"241,108",3%
Andhra Pradesh,2019,1,OnePlus,"237,269",3%
Andhra Pradesh,2019,1,Huawei,"220,082",3%
Andhra Pradesh,2019,1,Lenovo,"171,471",2%
Andhra Pradesh,2019,1,Others,"659,126",8%
Andhra Pradesh,2019,2,Xiaomi,"2,389,374",25%
Andhra Pradesh,2019,2,Samsung,"1,914,378",20%
Andhra Pradesh,2019,2,Vivo,"1,466,695",16%
Andhra Pradesh,2019,2,Oppo,"963,352",10%
Andhra Pradesh,2019,2,Realme,"641,519",7%
Andhra Pradesh,2019,2,Motorola,"324,778",3%
Andhra Pradesh,2019,2,Apple,"264,860",3%
Andhra Pradesh,2019,2,OnePlus,"254,273",3%
Andhra Pradesh,2019,2,Huawei,"250,859",3%
Andhra Pradesh,2019,2,Lenovo,"189,151",2%
Andhra Pradesh,2019,2,Others,"729,764",8%
Andhra Pradesh,2019,3,Xiaomi,"2,656,468",25%
Andhra Pradesh,2019,3,Samsung,"2,123,659",20%
Andhra Pradesh,2019,3,Vivo,"1,674,109",16%
Andhra Pradesh,2019,3,Oppo,"1,087,660",10%
Andhra Pradesh,2019,3,Realme,"727,964",7%
Andhra Pradesh,2019,3,Motorola,"348,910",3%
Andhra Pradesh,2019,3,Apple,"286,412",3%
Andhra Pradesh,2019,3,Huawei,"282,587",3%
Andhra Pradesh,2019,3,OnePlus,"271,100",3%
Andhra Pradesh,2019,3,Lenovo,"194,180",2%
Andhra Pradesh,2019,3,Others,"805,644",8%
Andhra Pradesh,2019,4,Xiaomi,"2,985,953",25%
Andhra Pradesh,2019,4,Samsung,"2,379,139",20%
Andhra Pradesh,2019,4,Vivo,"1,922,141",16%
Andhra Pradesh,2019,4,Oppo,"1,241,235",11%
Andhra Pradesh,2019,4,Realme,"844,668",7%
Andhra Pradesh,2019,4,Motorola,"381,692",3%
Andhra Pradesh,2019,4,Huawei,"317,290",3%
Andhra Pradesh,2019,4,Apple,"308,354",3%
Andhra Pradesh,2019,4,OnePlus,"286,412",2%
Andhra Pradesh,2019,4,Lenovo,"208,785",2%
Andhra Pradesh,2019,4,Others,"882,214",8%
Andhra Pradesh,2020,1,Xiaomi,"3,307,542",25%
Andhra Pradesh,2020,1,Samsung,"2,622,762",20%
Andhra Pradesh,2020,1,Vivo,"2,165,012",17%
Andhra Pradesh,2020,1,Oppo,"1,387,060",11%
Andhra Pradesh,2020,1,Realme,"960,418",7%
Andhra Pradesh,2020,1,Motorola,"411,062",3%
Andhra Pradesh,2020,1,Huawei,"348,324",3%
Andhra Pradesh,2020,1,Apple,"329,329",3%
Andhra Pradesh,2020,1,OnePlus,"298,911",2%
Andhra Pradesh,2020,1,Lenovo,"227,154",2%
Andhra Pradesh,2020,1,Others,"964,486",7%
Andhra Pradesh,2020,2,Xiaomi,"3,635,594",25%
Andhra Pradesh,2020,2,Samsung,"2,888,149",20%
Andhra Pradesh,2020,2,Vivo,"2,409,399",17%
Andhra Pradesh,2020,2,Oppo,"1,535,129",11%
Andhra Pradesh,2020,2,Realme,"1,072,165",7%
Andhra Pradesh,2020,2,Motorola,"445,380",3%
Andhra Pradesh,2020,2,Huawei,"379,220",3%
Andhra Pradesh,2020,2,Apple,"348,938",2%
