State,Year,Quarter,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Goa,2019,3,"1,092,416","2,000,367,191","1,831","317,194","4,753,892"
Goa,2019,4,"1,515,272","2,923,460,348","1,929","353,546","6,290,543"
Goa,2020,1,"1,881,237","3,410,371,232","1,813","391,900","7,147,233"
Goa,2020,2,"1,482,092","2,183,616,430","1,473","430,639","5,310,126"
Goa,2020,3,"1,915,531","3,368,343,581","1,758","474,962","6,129,766"
Goa,2020,4,"3,801,381","6,899,792,748","1,815","527,584","10,991,118"
Goa,2021,1,"5,331,549","9,757,242,879","1,830","570,035","15,467,672"
Goa,2021,2,"4,710,135","8,012,853,587","1,701","609,106","12,710,361"
Gujarat,2018,1,"5,948,775","7,577,982,255","1,274","2,690,048",0
Gujarat,2018,2,"7,745,733","12,162,684,772","1,570","3,565,825",0
Gujarat,2018,3,"11,334,149","17,866,404,426","1,576","4,433,183",0
Gujarat,2018,4,"14,733,303","24,830,987,103","1,685","5,579,040",0
Gujarat,2019,1,"24,991,451","35,856,080,308","1,435","6,652,536",0
Gujarat,2019,2,"28,981,842","49,320,615,219","1,702","7,574,645","34,890,301"
Gujarat,2019,3,"38,228,649","59,462,694,964","1,555","8,429,299","129,441,484"
Gujarat,2019,4,"42,547,632","76,690,662,055","1,802","9,323,799","147,973,757"
Gujarat,2020,1,"47,326,417","86,995,076,622","1,838","10,259,843","165,605,122"
Gujarat,2020,2,"47,420,185","80,387,846,359","1,695","11,392,657","155,264,359"
Gujarat,2020,3,"59,290,179","111,921,752,485","1,888","12,467,847","184,402,472"
Gujarat,2020,4,"77,828,547","148,393,060,112","1,907","13,605,203","230,497,353"
Gujarat,2021,1,"94,774,565","183,700,780,713","1,938","14,670,126","264,732,874"
Gujarat,2021,2,"111,841,396","210,162,054,552","1,879","15,735,981","282,432,543"
Haryana,2018,1,"4,480,770","6,793,511,515","1,516","1,847,357",0
Haryana,2018,2,"6,150,931","11,320,414,442","1,840","2,447,221",0
Haryana,2018,3,"8,262,024","16,375,139,008","1,982","3,020,398",0
Haryana,2018,4,"12,950,183","25,390,876,016","1,961","3,793,079",0
Haryana,2019,1,"22,135,775","34,051,655,722","1,538","4,538,767",0
Haryana,2019,2,"22,741,816","42,501,539,813","1,869","5,178,030","31,929,195"
Haryana,2019,3,"30,343,531","52,489,119,199","1,730","5,783,752","118,332,587"
Haryana,2019,4,"37,825,985","69,359,719,869","1,834","6,366,679","136,721,888"
Haryana,2020,1,"44,036,087","81,976,214,558","1,862","7,018,770","157,793,468"
Haryana,2020,2,"41,781,050","80,711,264,924","1,932","7,682,878","143,650,123"
Haryana,2020,3,"57,938,179","109,567,950,446","1,891","8,398,816","188,614,769"
Haryana,2020,4,"83,171,439","159,998,504,367","1,924","9,129,873","236,101,307"
Haryana,2021,1,"90,252,784","168,938,301,082","1,872","9,827,905","266,686,683"
Haryana,2021,2,"105,680,856","200,357,354,239","1,896","10,530,594","234,052,506"
Himachal Pradesh,2018,1,"481,918","628,737,806","1,305","227,373",0
Himachal Pradesh,2018,2,"687,695","1,183,169,301","1,720","315,299",0
Himachal Pradesh,2018,3,"886,754","1,754,041,433","1,978","407,634",0
Himachal Pradesh,2018,4,"1,307,883","2,621,298,968","2,004","526,343",0
Himachal Pradesh,2019,1,"2,168,718","3,381,481,443","1,559","653,205",0
Himachal Pradesh,2019,2,"2,502,306","4,875,883,974","1,949","772,603","3,321,711"
Himachal Pradesh,2019,3,"2,735,180","5,572,018,781","2,037","876,184","10,720,741"
Himachal Pradesh,2019,4,"3,516,646","7,271,163,537","2,068","985,945","12,637,904"
Himachal Pradesh,2020,1,"4,144,480","7,419,466,751","1,790","1,106,025","14,640,104"
Himachal Pradesh,2020,2,"4,695,730","8,036,904,763","1,712","1,249,867","16,125,580"
Himachal Pradesh,2020,3,"5,489,876","10,516,054,014","1,916","1,378,634","18,411,750"
Himachal Pradesh,2020,4,"7,272,328","13,989,053,109","1,924","1,508,766","22,001,148"
Himachal Pradesh,2021,1,"7,614,029","14,120,546,909","1,855","1,622,951","24,228,094"
Himachal Pradesh,2021,2,"9,483,902","16,495,634,540","1,739","1,743,151","43,269,977"
Jammu & Kashmir,2018,1,"941,568","1,005,371,239","1,068","176,425",0
Jammu & Kashmir,2018,2,"1,796,326","2,651,206,237","1,476","261,609",0
Jammu & Kashmir,2018,3,"2,303,961","3,934,700,999","1,708","342,529",0
Jammu & Kashmir,2018,4,"2,721,310","5,664,720,266","2,082","436,563",0
Jammu & Kashmir,2019,1,"3,584,987","5,951,835,477","1,660","530,669",0
Jammu & Kashmir,2019,2,"2,296,355","6,100,142,202","2,656","631,193","2,705,373"
Jammu & Kashmir,2019,3,"1,116,526","3,744,230,492","3,353","658,455","3,843,919"
Jammu & Kashmir,2019,4,"489,928","1,929,695,998","3,939","673,367","998,572"
Jammu & Kashmir,2020,1,"921,630","2,937,643,177","3,187","735,408","4,476,894"
Jammu & Kashmir,2020,2,"2,635,006","8,265,648,939","3,137","845,294","9,856,653"
Jammu & Kashmir,2020,3,"3,465,898","11,977,229,761","3,456","949,819","11,443,454"
Jammu & Kashmir,2020,4,"5,754,444","15,380,905,803","2,673","1,079,022","16,018,751"
Jammu & Kashmir,2021,1,"6,997,570","17,138,349,893","2,449","1,174,818","18,834,009"
Jammu & Kashmir,2021,2,"10,027,819","22,813,755,429","2,275","1,261,267","34,274,559"
Jharkhand,2018,1,"2,178,921","2,374,186,390","1,090","885,762",0
Jharkhand,2018,2,"3,152,080","4,721,575,659","1,498","1,230,599",0
Jharkhand,2018,3,"8,122,621","8,661,571,418","1,066","1,532,362",0
Jharkhand,2018,4,"6,284,043","10,241,916,641","1,630","1,913,949",0
Jharkhand,2019,1,"9,387,708","13,627,236,449","1,452","2,279,329",0
Jharkhand,2019,2,"10,128,211","18,622,701,306","1,839","2,604,854","14,929,066"
Jharkhand,2019,3,"14,220,647","21,465,973,993","1,509","2,915,511","55,504,460"
Jharkhand,2019,4,"18,248,618","28,147,748,377","1,542","3,281,371","70,181,789"
Jharkhand,2020,1,"18,282,713","33,611,232,153","1,838","3,651,393","74,014,713"
Jharkhand,2020,2,"20,141,511","37,486,201,976","1,861","4,061,035","76,339,276"
Jharkhand,2020,3,"27,068,473","50,622,615,820","1,870","4,480,027","99,318,784"
Jharkhand,2020,4,"39,431,633","72,805,174,830","1,846","4,917,938","126,310,835"
Jharkhand,2021,1,"44,621,663","83,749,353,123","1,877","5,313,049","141,731,331"
Jharkhand,2021,2,"54,002,145","104,432,643,311","1,934","5,701,503","184,234,107"
Karnataka,2018,1,"12,016,899","19,217,895,314","1,599","3,717,763",0
Karnataka,2018,2,"17,116,447","33,515,580,081","1,958","5,030,665",0
Karnataka,2018,3,"25,980,261","48,225,091,756","1,856","6,372,649",0
Karnataka,2018,4,"44,812,071","73,008,386,576","1,629","8,315,802",0
Karnataka,2019,1,"86,587,609","117,976,382,146","1,363","10,266,174",0
Karnataka,2019,2,"115,401,604","163,702,024,226","1,419","11,968,087","113,024,811"
Karnataka,2019,3,"170,733,735","214,536,720,438","1,257","13,635,075","445,683,660"
Karnataka,2019,4,"237,796,252","295,047,143,447","1,241","15,385,416","569,674,870"
Karnataka,2020,1,"271,033,890","353,402,054,999","1,304","17,016,980","626,488,036"
Karnataka,2020,2,"213,221,712","321,104,877,020","1,506","18,655,366","490,510,075"
Karnataka,2020,3,"300,360,531","470,740,515,697","1,567","20,487,550","693,683,212"
Karnataka,2020,4,"431,536,984","658,036,698,565","1,525","22,400,182","935,510,690"
Karnataka,2021,1,"523,797,492","754,995,357,412","1,441","24,095,832","1,084,917,385"
Karnataka,2021,2,"530,649,046","837,887,151,230","1,579","25,751,023","1,051,089,714"
Kerala,2018,1,"1,771,380","2,402,674,753","1,356","784,184",0
Kerala,2018,2,"2,308,165","3,886,923,343","1,684","1,066,587",0
Kerala,2018,3,"3,134,348","5,323,025,224","1,698","1,347,598",0
Kerala,2018,4,"4,310,654","7,747,361,237","1,797","1,757,326",0
Kerala,2019,1,"6,469,039","10,235,031,135","1,582","2,136,624",0
Kerala,2019,2,"7,283,826","13,031,371,561","1,789","2,550,167","8,673,220"
Kerala,2019,3,"9,286,096","16,429,809,722","1,769","2,990,963","31,471,694"
Kerala,2019,4,"12,498,637","21,151,326,638","1,692","3,503,938","40,046,033"
Kerala,2020,1,"15,733,522","26,451,084,831","1,681","4,078,316","46,396,398"
Kerala,2020,2,"16,287,967","25,894,078,479","1,590","4,728,844","45,832,953"
Kerala,2020,3,"21,758,680","40,164,150,652","1,846","5,582,300","64,309,022"
Kerala,2020,4,"33,288,187","56,755,256,647","1,705","6,387,169","91,415,273"
Kerala,2021,1,"42,316,342","69,260,970,162","1,637","6,936,943","108,918,733"
Kerala,2021,2,"47,191,033","74,226,806,436","1,573","7,416,083","87,814,415"
Ladakh,2018,1,"6,089","12,532,858","2,058","8,784",0
Ladakh,2018,2,"15,010","47,334,903","3,154","12,918",0
Ladakh,2018,3,"24,864","84,090,977","3,382","17,749",0
Ladakh,2018,4,"35,211","135,522,842","3,849","23,883",0
Ladakh,2019,1,"46,145","152,859,921","3,313","29,649",0
Ladakh,2019,2,"68,772","259,255,507","3,770","35,516","157,317"
Ladakh,2019,3,"92,396","331,129,527","3,584","39,173","503,126"
Ladakh,2019,4,"84,706","324,689,360","3,833","43,108","470,440"
Ladakh,2020,1,"116,419","377,639,677","3,244","47,790","590,484"
Ladakh,2020,2,"155,010","523,792,999","3,379","53,034","695,673"
Ladakh,2020,3,"228,222","835,487,500","3,661","58,401","1,015,680"
Ladakh,2020,4,"332,134","1,111,963,471","3,348","64,853","1,232,757"
Ladakh,2021,1,"275,415","983,419,813","3,571","69,919","1,184,204"
Ladakh,2021,2,"399,716","1,427,259,095","3,571","75,048","4,391,632"
Lakshadweep,2018,1,778,"1,928,611","2,479",501,0
Lakshadweep,2018,2,"2,132","6,187,810","2,902",686,0
Lakshadweep,2018,3,"1,703","4,339,032","2,548",918,0
Lakshadweep,2018,4,"1,642","4,463,214","2,718","1,156",0
Lakshadweep,2019,1,"2,481","8,786,130","3,541","1,416",0
Lakshadweep,2019,2,"2,926","9,242,524","3,159","1,747","4,580"
Lakshadweep,2019,3,"3,104","9,651,761","3,109","2,117","15,038"
Lakshadweep,2019,4,"3,765","11,269,913","2,993","2,427","17,760"
Lakshadweep,2020,1,"5,151","13,502,369","2,621","2,772","21,982"
Lakshadweep,2020,2,"7,220","16,942,922","2,347","3,187","29,202"
Lakshadweep,2020,3,"8,589","21,306,833","2,481","3,644","32,128"
Lakshadweep,2020,4,"11,650","30,111,318","2,585","4,179","41,144"
Lakshadweep,2021,1,"9,085","27,042,783","2,977","4,577","47,283"
Lakshadweep,2021,2,"11,384","27,383,464","2,405","4,896","40,301"
